isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
Fuerteventura,55,15,28.570419,-14.049806,2021-03-12 19:13:00,2024-05-03 20:22:23,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,5,0,2,1,0.3333333333333333,119.09704075864857
Fuerteventura,5,14,28.433104999999998,-13.864563,2021-02-02 00:00:00,2023-09-09 09:26:41,0.0,1.0,0.0,1.0,0.0,14,0,4,1,1.0,124.50490292240877
Fuerteventura,21,14,28.3529645,-14.035435,2021-06-26 12:46:16,2025-03-01 11:46:26,0.21428571428571427,0.7857142857142857,0.0,0.7857142857142857,0.21428571428571427,11,3,4,1,0.5714285714285714,124.56542169560844
Fuerteventura,58,14,28.202001,-14.073346,2024-05-01 15:16:52,2025-08-01 19:54:28,0.0,0.21428571428571427,0.7857142857142857,0.21428571428571427,0.0,3,0,1,1,0.21428571428571427,47.36013385419229
Fuerteventura,61,14,28.257686,-14.1103855,2025-03-01 13:25:50,2025-03-01 13:30:06,0.0,1.0,0.0,1.0,0.0,14,0,4,1,1.0,18.637934487162806
Fuerteventura,26,13,28.525391,-14.005662,2021-11-15 11:10:14,2024-05-22 04:20:23,0.0,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.0,7,0,3,1,0.5384615384615384,42.73315870871077
Fuerteventura,33,13,28.211852,-14.021609,2021-12-18 11:51:01,2025-07-17 18:56:59,0.9230769230769231,0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,1,12,1,4,-0.8461538461538463,147.87621448254868
Fuerteventura,36,13,28.1876,-14.152193,2021-06-25 09:57:21,2024-03-29 14:38:19,0.23076923076923078,0.7692307692307693,0.0,0.7692307692307693,0.23076923076923078,10,3,4,1,0.5384615384615385,139.27231473071163
Fuerteventura,57,13,28.154308,-14.235416,2024-03-30 13:17:37,2024-03-30 13:18:06,1.0,0.0,0.0,0.0,1.0,0,13,1,4,-1.0,0.0
Fuerteventura,25,12,28.171316,-14.301314,2021-10-31 17:12:17,2021-10-31 17:18:04,0.0,1.0,0.0,1.0,0.0,12,0,4,1,1.0,0.09493529796600342
Fuerteventura,27,12,28.4522145,-14.035255,2021-11-15 11:28:22,2025-03-05 12:59:15,0.0,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.0,1,0,1,1,0.08333333333333333,95.8250997663111
Fuerteventura,32,12,28.19039,-14.109796,2021-12-17 11:32:20,2021-12-17 12:39:42,1.0,0.0,0.0,0.0,1.0,0,12,1,4,-1.0,93.67579072945338
Fuerteventura,46,12,28.128338499999998,-14.2476075,2021-11-25 09:05:11,2026-02-27 17:29:20,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,1,1,1,0.0,92.31118984770275
Fuerteventura,62,12,28.608069,-13.93742,2025-07-15 07:50:51,2025-07-15 08:07:54,1.0,0.0,0.0,0.0,1.0,0,12,1,4,-1.0,0.0
Fuerteventura,67,12,28.167201,-14.21766,2026-02-20 18:59:46,2026-02-20 19:00:24,1.0,0.0,0.0,0.0,1.0,0,12,1,4,-1.0,0.0
Fuerteventura,31,10,28.190745,-14.125746,2021-12-14 10:50:01,2023-11-04 18:18:10,0.8,0.2,0.0,0.2,0.8,2,8,1,4,-0.6000000000000001,103.2532990173069
Gran Canaria,0,3702,28.140425,-15.4307715,2021-01-05 18:25:41,2026-03-17 10:34:43,0.16828741220961643,0.575634792004322,0.2560777957860616,0.575634792004322,0.16828741220961643,2131,623,3,1,0.4073473797947056,2183.653753141448
Gran Canaria,1,3405,28.101351,-15.41512,2021-01-06 10:59:02,2026-03-08 13:31:13,0.1897209985315712,0.7447870778267254,0.06549192364170338,0.7447870778267254,0.1897209985315712,2536,646,3,1,0.5550660792951542,897.0149789481054
Gran Canaria,36,645,27.91724,-15.395203,2021-03-06 16:39:48,2026-01-11 15:33:31,0.8046511627906977,0.10542635658914729,0.08992248062015504,0.10542635658914729,0.8046511627906977,68,519,1,4,-0.6992248062015505,588.640028171551
