isla_fix,cluster_hdbscan,Desconocido,Local,Turista
La Palma,0,0.0,0.017241379310344827,0.9827586206896551
La Palma,1,0.125,0.8,0.075
La Palma,2,0.16666666666666666,0.6333333333333333,0.2
La Palma,3,0.10869565217391304,0.3695652173913043,0.5217391304347826
La Palma,4,0.17307692307692307,0.019230769230769232,0.8076923076923077
La Palma,5,0.3111111111111111,0.0,0.6888888888888889
La Palma,6,0.025,0.75,0.225
La Palma,7,0.11320754716981132,0.33962264150943394,0.5471698113207547
La Palma,8,0.0,0.14705882352941177,0.8529411764705882
La Palma,9,0.16279069767441862,0.2558139534883721,0.5813953488372093
La Palma,10,0.6176470588235294,0.08823529411764706,0.29411764705882354
La Palma,11,0.09836065573770492,0.4262295081967213,0.47540983606557374
La Palma,12,0.21052631578947367,0.05263157894736842,0.7368421052631579
La Palma,13,0.0,0.18181818181818182,0.8181818181818182
La Palma,14,0.044444444444444446,0.4222222222222222,0.5333333333333333
La Palma,15,0.08196721311475409,0.5901639344262295,0.32786885245901637
La Palma,16,0.1111111111111111,0.14814814814814814,0.7407407407407407
La Palma,17,0.07894736842105263,0.18421052631578946,0.7368421052631579
La Palma,18,0.00975609756097561,0.43902439024390244,0.551219512195122
La Palma,19,0.07142857142857142,0.30357142857142855,0.625
La Palma,20,0.08823529411764706,0.029411764705882353,0.8823529411764706
La Palma,21,0.0,0.0,1.0
La Palma,22,0.0,0.0,1.0
La Palma,23,0.0,0.0,1.0
La Palma,24,0.11801242236024845,0.2670807453416149,0.6149068322981367
La Palma,25,0.05555555555555555,0.0,0.9444444444444444
La Palma,26,0.06,0.02,0.92
La Palma,27,0.07253886010362694,0.02072538860103627,0.9067357512953368
La Palma,28,0.1509433962264151,0.03773584905660377,0.8113207547169812
La Palma,29,0.1643835616438356,0.1506849315068493,0.684931506849315
La Palma,30,0.0,0.0,1.0
La Palma,31,0.0,0.0,1.0
La Palma,32,0.0,0.28125,0.71875
La Palma,33,0.0,0.0,1.0
La Palma,34,0.0,0.0,1.0
La Palma,35,0.0,0.0,1.0
La Palma,36,0.0,0.0,1.0
La Palma,37,0.0,0.13953488372093023,0.8604651162790697
La Palma,38,0.07692307692307693,0.3076923076923077,0.6153846153846154
La Palma,39,0.022727272727272728,0.2727272727272727,0.7045454545454546
La Palma,40,0.0,0.0,1.0
La Palma,41,0.06896551724137931,0.0,0.9310344827586207
La Palma,42,0.08333333333333333,0.4861111111111111,0.4305555555555556
La Palma,43,0.010526315789473684,0.09473684210526316,0.8947368421052632
La Palma,44,0.25925925925925924,0.48148148148148145,0.25925925925925924
La Palma,45,0.029411764705882353,0.17647058823529413,0.7941176470588235
La Palma,46,0.0,0.4909090909090909,0.509090909090909
La Palma,47,0.23809523809523808,0.0,0.7619047619047619
La Palma,48,0.08333333333333333,0.3055555555555556,0.6111111111111112
La Palma,49,0.036585365853658534,0.45121951219512196,0.5121951219512195
La Palma,50,0.0,0.0,1.0
La Palma,51,0.03571428571428571,0.3392857142857143,0.625
La Palma,52,0.0,0.0,1.0
La Palma,53,0.0,0.1951219512195122,0.8048780487804879
La Palma,54,0.03508771929824561,0.0,0.9649122807017544
La Palma,55,0.08333333333333333,0.125,0.7916666666666666
La Palma,56,0.0035460992907801418,0.0,0.9964539007092199
La Palma,57,0.0,0.0,1.0
La Palma,58,0.0,0.0,1.0
La Palma,59,0.08955223880597014,0.16417910447761194,0.746268656716418
La Palma,60,0.0125,0.025,0.9625
La Palma,61,0.013888888888888888,0.20833333333333334,0.7777777777777778
La Palma,62,0.0,0.07042253521126761,0.9295774647887324
La Palma,63,0.0,0.0,1.0
La Palma,64,0.0,1.0,0.0
La Palma,65,0.02564102564102564,0.0,0.9743589743589743
La Palma,66,0.014184397163120567,0.0070921985815602835,0.9787234042553191
La Palma,67,0.0,0.0,1.0
La Palma,68,0.03,0.0,0.97
La Palma,69,0.0,0.0,1.0
La Palma,70,0.0,0.0,1.0
La Palma,71,0.0,0.0,1.0
La Palma,72,0.0,0.0,1.0
La Palma,73,0.03333333333333333,0.25555555555555554,0.7111111111111111
La Palma,74,0.0,0.03125,0.96875
La Palma,75,0.1282051282051282,0.05128205128205128,0.8205128205128205
La Palma,76,0.0,0.08108108108108109,0.918918918918919
La Palma,77,0.0,0.45161290322580644,0.5483870967741935
La Palma,78,0.0,0.11842105263157894,0.881578947368421
La Palma,79,0.0,0.0,1.0
La Palma,80,0.0,0.0,1.0
La Palma,81,0.0,0.02,0.98
La Palma,82,0.0,0.0,1.0
La Palma,83,0.0,0.025,0.975
La Palma,84,0.08333333333333333,0.17708333333333334,0.7395833333333334
La Palma,85,0.007518796992481203,0.0,0.9924812030075187
La Palma,86,0.0,0.0,1.0
La Palma,87,0.0,0.0,1.0
La Palma,88,0.02,0.0,0.98
La Palma,89,0.0,0.0,1.0
La Palma,90,0.0,0.22,0.78
La Palma,91,0.0,0.0,1.0
La Palma,92,0.0,0.0,1.0
La Palma,93,0.0,0.0,1.0
La Palma,94,0.02127659574468085,0.0851063829787234,0.8936170212765957
La Palma,95,0.0,0.0,1.0
La Palma,96,0.0,0.0,1.0
La Palma,97,0.0,0.0,1.0
La Palma,98,0.0,0.0,1.0
La Palma,99,0.09615384615384616,0.0,0.9038461538461539
La Palma,100,0.0,0.0,1.0
La Palma,101,0.0,0.02564102564102564,0.9743589743589743
La Palma,102,0.0,0.0,1.0
La Palma,103,0.0,0.0,1.0
La Palma,104,0.024,0.28,0.696
La Palma,105,0.0,0.0,1.0
La Palma,106,0.26785714285714285,0.125,0.6071428571428571
La Palma,107,0.0,0.0,1.0
La Palma,108,0.0,0.010752688172043012,0.989247311827957
